category,subcategory,question,option_a,option_b,option_c,option_d,correct_answer,explanation,difficulty
Entertainment,Games and Media,What is a livestream?,A real-time online broadcast,A printed magazine,A delayed radio ad,A type of ticket,A,Livestreams happen live over the internet.,Easy
Entertainment,Games and Media,What is a user review?,"An audience member's opinion about a movie, game, or show",A legal verdict,A sports timeout,A camera angle,A,User reviews reflect audience reactions.,Easy
Entertainment,Games and Media,What is a rating system in entertainment used for?,Helping people know age or content suitability,Choosing sports scores,Creating taxes,Printing money,A,Ratings help audiences understand content suitability.,Medium
Entertainment,Games and Media,What is a soundtrack?,"The music associated with a movie, show, or game",A football playbook,A movie ticket refund,A theater curtain,A,A soundtrack is the music for a media project.,Easy
Entertainment,Games and Media,What is dubbing?,Replacing original dialogue with voices in another language,Painting a movie poster,Releasing a soundtrack,Adding subtitles only,A,Dubbing replaces spoken dialogue with another language track.,Hard
Entertainment,Games and Media,What is an adaptation?,A new version of a story based on an existing work,A canceled concert,A broken speaker,A live sports trade,A,"Adaptations bring books, comics, or other works into new formats.",Medium
Science,Physics,What is gravity?,A force that pulls objects toward each other,A type of weather,A form of music,A color of light only,A,Gravity pulls masses toward each other.,Easy
Science,Physics,What is speed?,How fast something moves,How loud something is,How hot something is,How bright something is,A,Speed measures how fast something moves.,Easy
Science,Physics,What is friction?,A force that resists motion between surfaces,A light source,A type of gas,A unit of sound only,A,Friction resists motion when surfaces rub.,Medium
Science,Physics,What is energy?,The ability to do work or cause change,A type of rock only,A weather season,A brand of shoes,A,Energy allows work and change to happen.,Medium
Science,Physics,Which force helps keep planets in orbit around the Sun?,Magnetism,Gravity,Friction,Sound,B,Gravity holds planets in orbit.,Easy
Science,Physics,What is electricity?,The flow of electric charge,A kind of plant,A type of mountain,A moon phase,A,Electricity involves moving electric charge.,Medium
Science,Physics,What unit is commonly used to measure temperature?,Meter,Degree,Liter,Second,B,Temperature is commonly measured in degrees.,Easy
Science,Physics,What travels faster in a vacuum: sound or light?,Sound,Light,They are equal,Neither can travel,B,Light travels through a vacuum; sound cannot.,Medium
Science,Physics,What simple machine is a seesaw an example of?,Pulley,Lever,Wheel and axle,Screw,B,A seesaw is a lever.,Medium
Science,Physics,What happens to water when it freezes?,It becomes steam,It becomes ice,It becomes metal,It disappears,B,Freezing turns liquid water into ice.,Easy
Science,Chemistry,What is the chemical formula for water?,CO2,H2O,O2,NaCl,B,Water is H2O.,Easy
Science,Chemistry,What gas do people breathe in to stay alive?,Carbon dioxide,Oxygen,Helium,Nitrogen only,B,Humans breathe in oxygen.,Easy
Science,Chemistry,What gas do plants take in during photosynthesis?,Oxygen,Carbon dioxide,Hydrogen,Argon,B,Plants take in carbon dioxide.,Medium
Science,Chemistry,What do we call the smallest unit of an element?,Molecule,Atom,Cell,Planet,B,Atoms are the basic units of elements.,Medium
Science,Chemistry,What is a mixture?,Two or more substances combined without chemical bonding,A single pure element,A solid metal only,A living cell,A,Mixtures combine substances without changing them chemically.,Medium
Science,Chemistry,What is evaporation?,Liquid changing into gas,Gas changing into liquid,Solid changing into gas only,Water turning into stone,A,Evaporation is when liquid becomes gas.,Easy
Science,Chemistry,What is condensation?,Gas changing to liquid,Liquid changing to gas,Solid changing to liquid,A chemical explosion,A,Condensation turns gas into liquid.,Medium
Science,Chemistry,What is the pH scale used to measure?,Speed,Acidity and basicity,Weight,Sound volume,B,The pH scale measures how acidic or basic something is.,Hard
Science,Chemistry,Which of these is a metal?,Oxygen,Iron,Helium,Carbon dioxide,B,Iron is a metal.,Easy
Science,Chemistry,What happens in a chemical reaction?,Substances change into new substances,Nothing changes at all,Only color matters,Gravity stops working,A,Chemical reactions create new substances.,Medium
Science,Biology,Which organ pumps blood?,Lungs,Heart,Stomach,Kidneys,B,The heart pumps blood through the body.,Easy
Science,Biology,What are plants that make their own food using sunlight called?,Consumers,Producers,Predators,Decomposers only,B,Plants are producers because they make their own food.,Medium
Science,Biology,What is photosynthesis?,How plants make food using sunlight,How animals sleep,How rocks form,How stars shine,A,"Photosynthesis lets plants use sunlight, water, and carbon dioxide to make food.",Medium
Science,Biology,What part of the cell contains genetic material in many organisms?,Cell wall,Nucleus,Chlorophyll,Membrane pump,B,The nucleus contains DNA in many cells.,Hard
Science,Biology,What do animals need in order to survive?,"Air, water, food, and habitat",Only toys,Only sunlight,Only music,A,Animals need basic resources to survive.,Easy
Science,Biology,What is a mammal?,An animal that is warm-blooded and feeds milk to its young,A cold-blooded fish,A type of tree,A weather pattern,A,Mammals share key traits such as feeding milk to their young.,Medium
Science,Biology,What do roots help a plant do?,Hear sounds,Absorb water and anchor the plant,Fly,Make thunder,B,Roots help plants take in water and stay anchored.,Easy
Science,Biology,Which blood cells help fight infection?,Red blood cells,White blood cells,Platelets only,Bone cells,B,White blood cells help defend the body against infection.,Hard
Science,Biology,What is an ecosystem?,Only a forest,A community of living things interacting with their environment,A type of machine,A city bus route,B,Ecosystems include organisms and the places where they live.,Medium
Science,Biology,What is biodiversity?,Variety of living things in an area,One species only,A single weather event,A rock collection,A,Biodiversity means many kinds of life.,Medium
Science,Earth Science,Earth is classified as what kind of object?,Star,Planet,Comet,Galaxy,B,Earth is a planet.,Easy
Science,Earth Science,What causes day and night on Earth?,Earth's rotation,Earth's color,Clouds,Ocean tides only,A,"Earth rotates, causing day and night.",Easy
Science,Earth Science,What causes the seasons on Earth?,Distance from the Sun only,Earth's tilt as it orbits the Sun,Moonlight,Wind speed,B,Earth's tilt and orbit create the seasons.,Medium
Science,Earth Science,What is the outer layer of Earth called?,Core,Crust,Mantle,Inner shell,B,The crust is Earth's outermost layer.,Medium
Science,Earth Science,What is molten rock below Earth's surface called?,Lava,Magma,Ash,Basalt only,B,Molten rock underground is called magma.,Medium
Science,Earth Science,What is the water cycle?,"The movement of water through evaporation, condensation, and precipitation",A bike race,Only a river path,A weather warning,A,The water cycle moves water through the environment.,Easy
Science,Earth Science,What is a fossil?,Ancient preserved remains or traces of life,A weather map,A new cell phone,A cloud type,A,Fossils preserve evidence of past life.,Easy
Science,Earth Science,What do we call shaking of the ground caused by movement in Earth's crust?,Tornado,Earthquake,Flood,Drought,B,Earthquakes happen when energy is released in the crust.,Easy
Science,Earth Science,What is weather?,Short-term atmospheric conditions,Long-term climate patterns only,Only rainfall,Only heat waves,A,Weather describes short-term atmospheric conditions.,Easy
Science,Earth Science,What is climate?,Long-term average weather patterns,The same as today's forecast only,Only humidity,Only wind direction,A,Climate refers to long-term patterns.,Medium
Science,Space Science,What is the Sun?,A planet,A star,A moon,An asteroid,B,The Sun is a star.,Easy
Science,Space Science,Which planet is known as the Red Planet?,Venus,Mars,Jupiter,Mercury,B,Mars is often called the Red Planet.,Easy
Science,Space Science,Which planet is the largest in our solar system?,Earth,Jupiter,Mars,Saturn,B,Jupiter is the largest planet in the solar system.,Easy
Science,Space Science,What object orbits Earth and affects tides?,Sun,Moon,Mars,Venus,B,The Moon orbits Earth and affects tides.,Easy
Science,Space Science,What is a galaxy?,A planet with rings,"A huge collection of stars, gas, and dust",A single comet,A kind of microscope,B,Galaxies contain vast numbers of stars and other matter.,Medium
Science,Space Science,What do astronauts wear in space for protection?,Raincoats,Space suits,School uniforms,Lab aprons,B,Space suits protect astronauts in space conditions.,Easy
Science,Space Science,What is a telescope used for?,"Looking at distant objects, especially in space",Measuring weight,Cooking food,Digging soil,A,Telescopes help us observe distant objects.,Easy
Science,Space Science,What is the Milky Way?,A candy bar only,The galaxy that contains our solar system,A moon crater,A single star,B,Our solar system is in the Milky Way galaxy.,Medium
Science,Space Science,What causes a lunar eclipse?,Earth blocks sunlight from reaching the Moon,The Moon blocks sunlight from reaching Earth,Clouds cover the Moon,The Sun turns off briefly,A,A lunar eclipse occurs when Earth casts its shadow on the Moon.,Hard
Science,Space Science,Why do we see different phases of the Moon?,The Moon changes shape,We see varying portions of the Moon lit by the Sun,Earth's oceans cover the Moon,The Moon rotates backward each week,B,Moon phases come from how much of the lit half we can see from Earth.,Hard
Faith,New Testament,Who wrote the book of Revelation?,Peter,John,Paul,Luke,B,The book of Revelation is traditionally attributed to John.,Medium
Civics,Community,What is public policy?,A personal diary,A plan or set of actions adopted by government to address issues,A sports schedule,A private family rule,B,Public policy refers to government decisions and actions on public issues.,Hard
